timestamp	content	aws.account.id
10/25/2025, 8:59:06 PM	2025-10-25 19:59:00 [INFO] Completed all module acebox userdata execution commands.	4.08059E+11
10/25/2025, 8:59:01 PM	FAILED - RETRYING: [localhost]: Install Node.js, npm, and git (3 retries left).	4.08059E+11
10/25/2025, 8:59:01 PM	FAILED - RETRYING: [localhost]: Install Node.js, npm, and git (2 retries left).	4.08059E+11
10/25/2025, 8:59:01 PM	FAILED - RETRYING: [localhost]: Install Node.js, npm, and git (1 retries left).	4.08059E+11
10/25/2025, 8:59:01 PM	"fatal: [localhost]: FAILED! => {""attempts"": 3, ""changed"": false, ""msg"": ""Failed to lock apt for exclusive operation: Failed to lock directory /var/lib/apt/lists/: E:Could not open lock file /var/lib/apt/lists/lock - open (13: Permission denied)""}
"	4.08059E+11
10/25/2025, 8:59:01 PM	PLAY RECAP *********************************************************************	4.08059E+11
10/25/2025, 8:59:01 PM	"localhost                  : ok=134  changed=43   unreachable=0    failed=1    skipped=3    rescued=0    ignored=0   
"	4.08059E+11
10/25/2025, 8:59:01 PM	"Traceback (most recent call last):
  File ""/usr/local/bin/ace"", line 555, in <module>
    ace(auto_envvar_prefix='ACE')
  File ""/usr/lib/python3/dist-packages/click/core.py"", line 1128, in __call__
    return self.main(*args, **kwargs)
  File ""/usr/lib/python3/dist-packages/click/core.py"", line 1053, in main
    rv = self.invoke(ctx)
  File ""/usr/lib/python3/dist-packages/click/core.py"", line 1659, in invoke
    return _process_result(sub_ctx.command.invoke(sub_ctx))
  File ""/usr/lib/python3/dist-packages/click/core.py"", line 1395, in invoke
    return ctx.invoke(self.callback, **ctx.params)
  File ""/usr/lib/python3/dist-packages/click/core.py"", line 754, in invoke
    return __callback(*args, **kwargs)
  File ""/usr/local/bin/ace"", line 480, in enable
    subprocess.run((
  File ""/usr/lib/python3.10/subprocess.py"", line 526, in run
    raise CalledProcessError(retcode, process.args,"	4.08059E+11
10/25/2025, 8:59:01 PM	subprocess.CalledProcessError: Command 'ANSIBLE_COLLECTIONS_PATH=/home/dt_training/.ansible/collections ansible-playbook ace_box.ace_box.main_v2 --extra-vars '{"ace_box_user": "dt_training", "ace_config_file_path": "/home/dt_training/.ace/ace.config.yml", "use_case_ext_src": "https://GITHUB_USER:GITHUB_TOKEN@github.com/lawrobar90/ace-box-ext-hot-partner-powerup-bizobs.git", "use_case_ext_version": "main", "local": false}' --tags "use_case_ext"' returned non-zero exit status 2.	4.08059E+11
10/25/2025, 8:59:01 PM	2025-10-25 19:59:00 [FATAL] ACE-Box usecase deployment has failed due to 'ace enable' completing with a non-zero exit code. See ACE-Box logs for additional information.	4.08059E+11
10/25/2025, 8:59:01 PM	2025-10-25 19:59:00 [INFO] ACE-Box dashboard role detected - adding dashboard link in .bashrc file	4.08059E+11
